FWxd90oVJj9Y1bzF0i6cBn7p,1419335596046,anilk,info:fedora/learning:7924,student,General,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419335769469,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:7924,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419335770959,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:8354,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419335772024,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419335772050,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337006164,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:7587,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337006921,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337006977,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337024306,ferozs,info:fedora/learning:7924,faculty,Course,View,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337025055,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337025069,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337045141,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:16102,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337045877,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337045888,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337050024,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:17937,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337050780,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337050803,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337055316,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:16067,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337056033,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337056057,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337075775,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:16102,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337076555,ferozs,info:fedora/learning:7924,faculty,Notes,List,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337076572,ferozs,info:fedora/learning:7924,faculty,Forums,Search,NA,122.166.227.83,false
FWxd90oVJj9Y1bzF0i6cBn7p,1419337107644,ferozs,info:fedora/learning:7924,faculty,Course,View,info:fedora/learning:17937,122.166.227.83,false
