"target","feature_01","feature_02","feature_03","feature_04","feature_05","feature_06","feature_07","feature_08","feature_09","feature_10","feature_11","feature_12"
0,"1","1","4",5480,8,20,NA,NA,5000,-15,30.56,200
0,"1","2","5",5660,6,NA,38,NA,NA,-14,NA,300
0,"1","3","6",5710,4,28,40,NA,2693,-25,47.66,250
0,"1","4","7",5700,3,37,45,NA,590,-24,55.04,100
0,"1","5","1",5760,3,51,54,45.32,1450,25,57.02,60
0,"1","6","2",5720,4,69,35,49.64,1568,15,53.78,60
0,"1","7","3",5790,6,19,45,46.4,2631,-33,54.14,100
0,"1","8","4",5790,3,25,55,52.7,554,-28,64.76,250
0,"1","9","5",5700,3,73,41,48.02,2083,23,52.52,120
0,"1","10","6",5700,3,59,44,NA,2654,-2,48.38,120
0,"1","11","7",5770,8,27,54,NA,5000,-19,48.56,120
0,"1","12","1",5720,3,44,51,54.32,111,9,63.14,150
0,"1","13","2",5760,6,33,51,57.56,492,-44,64.58,40
0,"1","14","3",5780,6,19,54,56.12,5000,-44,56.3,200
0,"1","15","4",5830,3,19,58,62.24,1249,-53,75.74,250
0,"1","16","5",5870,2,19,61,64.94,5000,-67,65.48,200
0,"1","17","6",5840,5,19,64,NA,5000,-40,63.32,200
1,"1","18","7",5780,4,59,67,NA,639,1,66.02,150
0,"1","19","1",5680,5,73,52,56.48,393,-68,69.8,10
0,"1","20","2",5720,4,19,54,NA,5000,-66,54.68,140
0,"1","21","3",5760,3,19,54,53.6,5000,-58,51.98,250
0,"1","22","4",5730,4,26,58,52.7,5000,-26,51.98,200
0,"1","23","5",5700,5,59,69,51.08,3044,18,52.88,150
0,"1","24","6",5650,5,70,51,NA,3641,23,47.66,140
0,"1","25","7",5680,3,64,53,NA,111,-10,59.54,50
0,"1","26","1",5780,3,NA,56,53.6,692,-25,67.1,0
0,"1","27","2",5820,5,19,59,59.36,597,-52,70.52,70
0,"1","28","3",5830,4,NA,59,60.08,NA,-44,NA,150
0,"1","29","4",5810,5,19,64,56.66,1791,-15,64.76,150
1,"1","30","5",5790,3,28,63,57.38,793,-15,65.84,120
1,"1","31","6",5800,2,32,63,NA,531,-38,75.92,40
0,"2","1","7",5820,5,19,62,NA,419,-29,75.74,120
1,"2","2","1",5770,8,76,63,57.2,816,-7,66.2,6
0,"2","3","2",5670,3,69,54,45.5,3651,62,49.1,30
0,"2","4","3",5590,3,76,36,37.4,5000,70,37.94,100
0,"2","5","4",5410,6,64,31,32.18,5000,28,32.36,200
0,"2","6","5",5350,7,62,30,32.54,1341,18,45.86,60
0,"2","7","6",5480,9,72,36,NA,5000,0,38.66,350
0,"2","8","7",5600,7,76,42,NA,3799,-18,45.86,250
0,"2","9","1",5490,11,72,37,38.48,5000,32,38.12,350
0,"2","10","2",5560,10,72,41,40.46,5000,-1,37.58,300
0,"2","11","3",5700,3,32,46,NA,5000,-30,45.86,300
0,"2","12","4",5680,5,50,51,47.12,5000,-8,45.5,300
0,"2","13","5",5700,4,86,55,49.28,2398,21,53.78,200
0,"2","14","6",5650,5,61,41,NA,5000,51,36.32,100
0,"2","15","7",5610,5,62,41,NA,4281,42,41.36,250
0,"2","16","1",5730,5,66,49,NA,1161,27,52.88,200
1,"2","17","2",5770,5,68,45,52.88,2778,2,55.76,200
1,"2","18","3",5770,3,82,55,55.4,442,26,58.28,40
0,"2","19","4",5700,5,NA,45,38.12,NA,82,NA,2
0,"2","20","5",5690,8,21,41,43.88,5000,-30,42.26,300
0,"2","21","6",5700,3,19,45,NA,5000,-53,43.88,300
0,"2","22","7",5730,11,19,51,NA,5000,-43,49.1,300
0,"2","23","1",5690,7,19,53,50.18,5000,7,49.1,300
0,"2","24","2",5640,5,68,50,37.4,5000,24,42.08,300
0,"2","25","3",5720,6,63,60,53.06,1341,19,59.18,150
1,"2","26","4",5740,3,54,54,56.48,1318,2,64.58,150
1,"2","27","5",5740,3,47,53,58.82,885,-4,67.1,80
1,"2","28","6",5740,3,56,53,NA,360,3,67.1,40
0,"2","29","7",5670,7,61,44,NA,3497,73,49.46,40
0,"3","1","1",5550,10,74,40,38.84,5000,73,40.1,80
0,"3","2","2",5470,7,46,30,29.66,5000,44,29.3,300
0,"3","3","3",5320,11,45,25,27.68,5000,39,27.5,200
0,"3","4","4",NA,8,33,39,30.2,5000,15,30.02,500
0,"3","5","5",5530,3,43,40,36.14,5000,-12,33.62,140
0,"3","6","6",5600,3,21,45,NA,5000,-2,39.02,140
0,"3","7","7",5660,7,57,51,NA,5000,30,42.08,140
0,"3","8","1",5580,5,42,48,40.64,3608,24,39.38,100
0,"3","9","2",5510,5,50,45,36.86,5000,38,32.9,140
0,"3","10","3",5530,5,61,47,33.8,5000,56,35.6,200
0,"3","11","4",5620,9,61,43,37.04,5000,66,34.34,120
1,"3","12","5",5690,0,60,49,46.04,613,-27,59.72,300
1,"3","13","6",5760,4,31,56,NA,334,-9,64.4,300
0,"3","14","7",5740,3,66,53,NA,567,13,61.88,150
1,"3","15","1",5780,5,53,61,57.92,488,-20,64.94,2
1,"3","16","2",5790,2,42,63,57.02,531,-15,71.06,50
1,"3","17","3",5760,3,60,70,58.64,508,7,66.56,70
1,"3","18","4",5700,4,82,57,50.36,1571,68,56.3,17
1,"3","19","5",5680,4,57,35,40.1,721,28,55.4,140
0,"3","20","6",5720,5,21,52,NA,505,-49,67.28,140
1,"3","21","7",5720,5,19,59,NA,377,-27,73.22,300
1,"3","22","1",5730,4,32,67,59.54,442,-9,75.74,200
1,"3","23","2",5710,5,77,57,57.38,902,54,60.44,250
1,"3","24","3",5750,6,70,NA,56.3,3188,53,58.64,80
1,"3","25","4",5720,4,71,42,44.96,1381,4,56.3,60
1,"3","26","5",5710,3,19,55,51.8,5000,-16,50,100
1,"3","27","6",5600,6,45,40,NA,5000,38,46.94,150
0,"3","28","7",5630,4,44,39,NA,1302,40,52.7,150
1,"3","29","1",5690,7,70,57,46.58,1292,-5,53.6,200
1,"3","30","2",5730,6,45,58,52.52,5000,-14,52.7,100
1,"3","31","3",5710,3,46,62,52.52,472,34,62.96,300
0,"4","1","4",5610,6,50,51,50,1404,42,54.5,120
0,"4","2","5",5680,5,69,61,51.44,944,35,55.76,100
